location,bhk,total_sqft,,balcony
R.T. Nagar,2,1080,,0
Vittal Nagar,5,2400,,3
Sadashiva Nagar,2,1174,,1
Electronic City Phase II,1,658,,1
2Electronic City Phase II,1,658,,0
Ardendale,1,698.5,,0
Kasavanhalli,2,1080,,1
Uttarahalli,3,1700,,0
Bisuvanahalli,3,1498,,3
Kambipura,3,1466,,3
Thanisandra,1,775,,0
Brookefield,1,1020,,1
Whitefield,2,1045,,2
3rd Block Banashankari,3,1550,,1
Bhuvaneshwari Nagar,2,1340,,1
Choodasandra,3,2125,,1
Shanthala Nagar,2,1230,,1
Harlur,2,1360,,0
Anekal,1,658,,1
Jnanabharathi Layout,2,1010,,1
Sarjapur,2,1380,,1
Kadarenahalli,2,1080,,1
EPIP Zone,2,1230,,1
8th Phase JP Nagar,3,1460,,2
JP Nagar,2,1090,,2
Bannerghatta Road,2,946,,2
Whitefield,3,1470,,3
Laggere,3,2000,,2
Kammasandra,3,1410,,3
Hosa Road,2,1100,,1.584375738
Victoria Layout,3,1611,,2
Prithvi Layout,3,1610,,2
Mysore Road,2,1339,,1
Sarjapur  Road,2,1520,,3
Sarjapur  Road,2,1125,,1
Bannerghatta,2,1000,,2
Domlur,2,1225,,1
Hennur Road,3,1215,,2
Sanjay nagar,3,1500,,2
Sector 7 HSR Layout,3,1300,,2
Tumkur Road,3,1600,,2
5th Phase JP Nagar,2,1015,,1
Whitefield,2,1260,,2
Thubarahalli,2,850,,3
Subramanyanagar,2,1390,,2
Yelahanka,3,1804,,2
Thigalarapalya,2,1080,,2
Ramamurthy Nagar,3,1999,,2
Hebbal,2,1100,,2
KUDLU MAIN ROAD,3,1999,,2
Hebbal,2,1100,,1
Binny Pete,3,1252,,1
Doddanekundi,2,1155,,1
Whitefield,2,1128,,2
1 Ramamurthy Nagar,2,1148,,1
Kadugondanahalli,2,1145,,1
Banashankari Stage II,3,1829,,2
Old Airport Road,2,1100,,1
5th Stage BEML Layout,2,1100,,1
HBR Layout,2,1315,,2
Indira Nagar,2,1135,,2
IVC Road,2,1100,,1
Jaya Mahal layout,2,1370,,2
BSM Extension,2,1200,,2
Jigani,3,1585,,2
Hennur Road,2,1005,,2
Kundalahalli,2,1264,,1.584375738
Vijinapura,2,1148,,2
Banaswadi,2,1188,,3
Kodigehaali,2,1148,,2
TC Palaya,3,1864,,3
Jigani,3,1458,,2
P&T Layout,4,4200,,3
Electronic City Phase II,3,3876,,1
Electronic City,3,2776,,2
Brookefield,3,2440,,1
7th Phase JP Nagar,4,2400,,0
Whitefield,1,654,,1
Yelahanka New Town,4,3206,,1.584375738
Hennur,2,830,,2
Byrasandra,2,800,,2
SBM Colony,3,1290,,2
Veerannapalya,3,1200,,1
Chowdeshwari Layout,3,1550,,3
JP Nagar,8,3150,,2
HSR Layout,2,1300,,3
Kanakpura Road,2,1250,,3
Whitefield,1,747,,2
Mathikere Extension,2,1010,,1
Horamavu Agara,2,1010,,1
TC Palaya,2,1072,,1
Akshaya Nagar,2,1010,,1
CV Raman Nagar,2,1010,,1
EPIP Zone,2,1072,,1
Sector 2 HSR Layout,3,1550,,1
Chikkalasandra,2,1180,,2
Kanakpura Road,3,1409,,3
Koramangala,3,1119,,1
Sarjapur,2,1160,,3
Electronic City,3,1475,,2
Jalahalli,2,1025,,1
Anantapura,2,1512,,2
Domlur,3,1768,,3
Babusapalaya,2,1092,,1
Bommasandra,3,1760,,3
Kengeri,2,1280,,2
2nd Stage Nagarbhavi,3,2045,,3
Sarjapur,2,1148,,1
Nagarbhavi,2,1128,,2
Haralur Road,2,970,,0
Hoodi,2,1050,,1
Shivaji Nagar,2,850,,1
Kaikondrahalli,2,1030,,2
Hebbal Kempapura,3,1549,,2
Old Airport Road,1,550,,1
Subramanyapura,2,1015,,2
Hosa Road,2,1104,,2
Chamrajpet,2,915,,1
Banashankari,1,750,,1
OMBR Layout,3,1595,,3
Sarjapur  Road,2,855,,1
Whitefield,2,1105,,1
Padmanabhanagar,2,925,,2
Kanakpura Road,3,1208,,1
Old Madras Road,2,1100,,2
JP Nagar,2,940,,1
Hebbal,3,1382,,1
Badavala Nagar,2,1107,,3
Hennur Road,2,907,,1
Rustam Bagh Layout,3,1783,,3
Raja Rajeshwari Nagar,1,550,,1
Hulimavu,4,30000,,1.584375738
NRI Layout,2,1400,,2
4th Block Koramangala,3,1717,,3
Hulimavu,3,1594,,2
Banaswadi,3,1893,,2
Hormavu,2,1400,,3
Belatur,6,30400,,2
Yelahanka,4,3500,,3
Arekere,4,3100,,1
Sarjapur  Road,2,1097,,3
Lalbagh Road,3,1350,,0
Frazer Town,3,7800,,2
Basavangudi,4,2100,,2
Kamakya Layout,3,2000,,3
Domlur,3,1460,,2
Vignana Nagar,3,2456,,3
Kogilu,3,1540,,2
Nallurhalli,3,1875,,2
Kamakshipalya,3,1429,,3
Chinnapanahalli,1,640,,0
Kereguddadahalli,2,1050,,2
Jalahalli East,3,1800,,2
TC Palaya,3,1720,,1
Lingarajapuram,3,1950,,3
Anekal,3,2180,,2
Yelachenahalli,1,650,,1
3rd Block HBR Layout,1,780,,1
Frazer Town,3,2180,,2
Kasavanhalli,3,1740,,0
Laxmi Sagar Layout,3,1695,,2
Yeshwanthpur,2,1246,,1
Gottigere,3,2100,,2
TC Palaya,2,1276,,2
Bommenahalli,3,1850,,1
OMBR Layout,3,2955,,1.584375738
7th Phase JP Nagar,3,1650,,1
Bannerghatta,2,900,,2
Marathahalli,2,805,,1
Sector 2 HSR Layout,2,1153,,2
Bannerghatta Road,2,1090,,2
Sahakara Nagar,2,850,,1
Hosur Road,2,999,,2
New Gurappana Palya,3,1340,,1
Dodda Nekkundi Extension,3,2250,,2
Old Airport Road,3,1625,,1
Harlur,3,1596,,1
Old Madras Road,3,1596,,0
Frazer Town,3,1570,,1
Kengeri Satellite Town,3,1500,,1
Nelamangala,2,1200,,1
Kengeri,2,1132,,1
Hosur Road,2,1285,,2
Begur Road,3,2330,,2
Nagavarapalya,2,1330,,1
Hormavu,2,1330,,1
Uttarahalli,2,1330,,1
7th Phase JP Nagar,3,1500,,3
Vittasandra,2,1280,,1
Whitefield,2,1125,,1
Hormavu,3,1734,,3
2nd Block Hrbr Layout,2,1343,,2
Sarjapur,3,2350,,2
Domlur,3,1860,,2
Electronic City Phase II,3,2210,,3
Marathahalli,3,2710,,2
Electronic City,3,1650,,0
Hongasandra,2,1190,,1
Harappanahalli,3,2070,,3
Basapura,3,1600,,3
Roopena Agrahara,2,1210,,0
Doddakallasandra,3,1500,,1
BTM Layout,2,1060,,1
Hennur Road,2,1152,,1
Chennammana Kere,2,770,,1
Jigani,2,1070,,1
Bommasandra Industrial Area,2,1025,,1
Thanisandra,1,589,,1
Uttarahalli,2,910,,1
Hegde Nagar,2,1108,,1
Subramanyapura,2,1128,,1
Kanaka Nagar,3,1800,,2
Sarjapur  Road,1,630,,1
Tasker Town,2,1128,,1
Govindpura,3,1599,,2
Hormavu,2,1070,,1
Yelahanka,2,940,,1
Rajaji Nagar,2,1128,,1
NR Colony,2,1342,,1
Kanakpura Road,3,1360,,1
Agara Village,2,1265,,0
Begur Road,3,1691,,2
Shettigere,2,1128,,1
Chikkasandra,2,1070,,1
Kaggadasapura,4,2000,,0
Kothannur,2,890,,2
Kenchanehalli R R Nagar,2,1128,,1
6th Phase JP Nagar,2,865,,0
Kumara Park,2,910,,2
Tumkur Road,3,1360,,1
BEL Road,2,770,,1
Arekere,2,1128,,1
Varthur,2,1070,,1
Koramangala,3,1571,,2
Kanakpura Road,3,1111,,1
GM Palaya,2,870,,1
Byagadadhenahalli,3,1374,,1
Vittasandra,2,1128,,1
Ashwathnagar,2,1128,,1
KR Puram,2,755,,1
Kudlu Gate,3,1563,,2
Srinivasa Nagar,2,1025,,1
Gubbalala,2,1070,,1
Kogilu,3,1350,,2
Kanakapura,3,1700,,2
Banashankari Stage III,2,1128,,1
Doddabommasandra,1,700,,1
5th Phase JP Nagar,3,1360,,1
Sarjapura - Attibele Road,3,1571,,2
Maruthi Layout,3,1600,,2
Hulimavu,3,1500,,1
Sree Narayana Nagar,2,1152,,1
Kanakpura Road,2,1070,,1
Malleshwaram,2,1128,,1
Hoodi,2,1200,,1
Talaghattapura,2,1152,,1
Bhoganhalli,2,1070,,1
Raja Rajeshwari Nagar,2,1060,,1
5th Block Hbr Layout,2,1025,,1
Hebbal,3,1500,,1
Sarjapur  Road,2,1213,,1
Tunganagara,3,1575,,2
Nagavara,3,1449,,2
Sahakara Nagar,2,1125,,1
BTM 2nd Stage,3,1575,,3
Hongasandra,1,550,,1
Jalahalli East,2,919,,2
Sarjapur  Road,3,1500,,1
Remco Bhel Layout,2,1363,,1
CV Raman Nagar,2,1108,,1
Chamrajpet,2,1128,,1
Magadi Road,2,1060,,1
Banashankari,3,1650,,2
Yelachenahalli,2,1025,,1
Uttarahalli,3,1449,,2
Hennur Road,2,1070,,1
Jalahalli,2,1210,,1
Lakshminarayana Pura,3,1500,,1
Electronic City Phase II,2,1070,,1
Sonnenahalli,4,2435,,3
Vijayanagar,2,1073,,2
Basaveshwara Nagar,3,1500,,1
Chokkasandra,2,1070,,1
Anekal,2,1296,,2
2nd Block Hrbr Layout,2,1140,,1
Kanakapura,4,2093,,1
Bellandur,2,1025,,1
Ananth Nagar,2,940,,1
Panduranga Nagar,1,435,,1
Sri Venkateshpura Layout,3,1500,,1
Malleshwaram,3,1631,,2
Haralur Road,2,1355,,1
Seegehalli,1,435,,1
Abbigere,2,1039,,1
Lingadheeranahalli,2,770,,1
Gottigere,2,1128,,1
Byadarahalli,1,605,,0
Hebbal Kempapura,1,530,,1
Jakkur Plantation,2,1070,,1
Kasavanhalli,3,1571,,2
Amruthahalli,3,1350,,2
Kaverappa Layout,3,1652,,3
Bommasandra,2,1128,,1
Kaverappa Layout,1,635,,1
Electronic City,2,1128,,1
Mahadevpura,2,1355,,1
5th Block Hbr Layout,3,1609,,3
Yeshwanthpur,2,770,,1
Doddanekundi,2,865,,1
Bellandur,2,1108,,1
Banaswadi,1,630,,1
Mysore Road,1,605,,1
Yeshwanthpur,2,1070,,1
Kammasandra,3,1360,,1
Haralur Road,1,635,,0
Thigalarapalya,2,1128,,1
Ramagondanahalli,2,890,,1
Sir M V Nagar,1,630,,1
Kanakpura Road,3,1400,,1
Bikasipura,2,1258,,1
Budigere,2,1386,,1
CV Raman Nagar,2,1025,,1
Basaveshwara Nagar Yelahanka,2,1070,,1
Binny Pete,2,1342,,1
Sidedahalli,3,1275,,1
Marathahalli,2,770,,1
Electronic City,3,1644,,2
Ramamurthy Nagar,2,1250,,1
Electronics City Phase 1,1,418,,1
Green Glen Layout,2,1128,,1
Akshaya Nagar,2,1060,,1
Horamavu Banaswadi,1,710,,1
7th Phase JP Nagar,3,1275,,3
Hennur Road,3,1518,,3
Kaggalipura,1,1090,,1
Electronic City,2,1060,,1
Haralur Road,2,1353,,3
7th Phase JP Nagar,2,1128,,1
R.T. Nagar,2,1070,,1
Kalkere,3,1700,,2
Kanakpura Road,1,750,,1
1st Block Koramangala,2,1210,,1
Shree Ananth Nagar Layout,2,1070,,1
Yeshwanthpur,3,1615,,2
Hoskote,2,1221,,2
9th Phase JP Nagar,3,1500,,1
2nd Phase Judicial Layout,2,995,,1
Jakkur,2,1342,,1
Magadi Road,2,1128,,1
Panathur,1,589,,1
Ambedkar Nagar,3,1575,,1
Bellandur,2,1070,,1
Indira Nagar,2,1025,,1
HBR Layout,3,1500,,1
Brookefield,3,1500,,1
Attiguppe,4,2093,,2
Magadi Road,2,1355,,1
Srirampuram,3,1360,,1
Yemlur,2,1060,,1
Race Course Road,2,1056,,1
Sarjapur,2,1020,,1
Ambalipura,2,1069,,2
Thanisandra,1,630,,1
Marathahalli,2,1000,,1
Gkvk Layout,2,1090,,1
Thubarahalli,4,2225,,0
Bannerghatta Road,2,775,,2
Bank Of Baroda Colony,2,1266,,2
Kanakpura Road,2,1000,,1
Kanakpura Road,2,972,,1
Sector 1 HSR Layout,2,1031,,1
Ramamurthy Nagar,2,1003,,1
Chikkabanavar,2,1031,,1
BTM 2nd Stage,3,1395,,1
Yeshwanthpur,2,1160,,1
Electronic City,2,1065,,1
Electronic City Phase II,2,1219,,1
Whitefield,2,1000,,1
Ananth Nagar,3,1790,,3
Koramangala,2,769,,1
Whitefield,2,900,,2
Laggere,3,1418,,2
Hosa Road,2,1070,,2
Basavangudi,2,1140,,1
Electronic City Phase II,2,1089,,0
Bank Of Baroda Colony,2,1031,,1
9th Phase JP Nagar,2,1253,,1
Hulimavu,2,1160,,1
Banaswadi,4,6000,,1.584375738
Brookefield,2,1116,,2
Ramamurthy Nagar,2,1125,,1
St. John's Road,2,1000,,1
1st Phase JP Nagar,2,1000,,1
Bommasandra Industrial Area,2,1000,,1
Kothanur,2,1165,,1
Uttarahalli,2,1031,,1
Kaikondrahalli,2,1065,,1
Electronic City,3,1549,,2
Kothannur,2,1065,,1
Marathahalli,2,920,,2
Doopanahalli,2,1140,,1
Old Madras Road,2,1219,,1
Hoodi,3,1252,,3
Haralur Road,2,1125,,1
Kudlu Gate,2,1286,,2
7th Phase JP Nagar,2,1140,,1
Doddaballapur,2,1116,,2
Sathanur,3,1150,,3
Kanakpura Road,3,1192,,3
Margondanahalli,2,1020,,2
Varthur,4,1900,,1
Marathahalli,2,1020,,1
Electronic City Phase II,2,1025,,1
Subramanyapura,2,1020,,1
Kanakpura Road,2,1000,,1
Kanakpura Road,2,1140,,2
Hosa Road,2,1125,,1
Kengeri Satellite Town,2,1200,,1
Kumaraswami Layout,2,1160,,1
Banashankari Stage VI,2,1244,,1
ITI Layout,2,1160,,1
Ramamohanapuram,2,972,,1
Malleshwaram,2,1160,,1
Lakshminarayana Pura,2,1090,,1
TC Palaya,2,1140,,1
Prithvi Layout,1,650,,1
Harlur,2,1155,,1
Tejaswini Nagar,3,1800,,3
Bannerghatta,2,1300,,2
Whitefield,2,1160,,1
Channasandra,2,1025,,1
9th Phase JP Nagar,2,829,,1
Whitefield,4,2187.5,,0
Kammanahalli,2,1252,,1
Jakkur,2,1125,,1
Horamavu Agara,2,1140,,1
Bannerghatta Road,3,1252,,1
HSR Layout,2,1135,,2
1st Block Jayanagar,3,1305,,1
Kamakshipalya,2,1165,,1
kanakapura road,3,1336,,3
Ramagondanahalli,1,575,,1
Kaveri Nagar,2,1065,,1
7th Phase JP Nagar,2,1065,,1
Poorna Pragna Layout,2,1140,,1
Bannerghatta Road,2,911,,1
Sundar Ram Shetty Nagar,2,1200,,1
Attibele,2,1031,,1
Gottigere,2,950,,1
Yelahanka,3,1475,,2
Sector 6 HSR Layout,3,1490,,1
Raja Rajeshwari Nagar,2,1113.27,,2
Whitefield,3,1490,,1
Nelamangala,2,1015,,1
Ganga Nagar,3,1515,,1
Udayapur Village,2,995,,0
Electronic City,3,1555,,1
Panathur,2,1340,,2
"Kirloskar layout, Basaveshwarnagar",3,1124,,2
Raja Rajeshwari Nagar,2,1175,,1
Padmanabhanagar,1,755,,1
Alfa Garden Layout,1,580,,1
KR Puram,2,940,,2
Gowdanapalya,2,1335,,2
Iblur Village,2,1113.12,,2
Nagarbhavi,3,1350,,0
Thanisandra,2,995,,1
Kothanur,1,635,,0
Mico Layout,2,1190,,1
Kaggadasapura,3,1450,,2
NS Palya,1,360,,0
Kaggadasapura,1,638,,1
Anekal,2,1175,,2
2nd Phase JP Nagar,1,585,,1
Bommanahalli,2,1200,,2
Prithvi Layout,2,1145,,1
2nd Stage Nagarbhavi,2,1125,,2
Hebbal,3,1550,,2
Sarjapur  Road,2,865,,0
Ramamurthy Nagar,3,1800,,2
Nehru Nagar,2,1314,,2
Banashankari,2,1170,,1
Hessarghatta,3,1450,,2
Sarjapur  Road,2,940,,1
Hulimavu,2,940,,1
Sonnenahalli,2,1300,,1
Hoodi Layout,2,1028,,1
Electronic City,2,1205,,2
Seegehalli,2,1305,,1
Kaggadasapura,1,755,,0
Lingadheeranahalli,2,1175,,1
Thanisandra,2,1000,,0
Begur Road,2,1180,,1
7th Phase JP Nagar,4,2145,,1.584375738
Rajaji Nagar,3,1700,,1
BTM Layout,3,1305,,1.584375738
Basavangudi,3,1870,,3
Gaundanapalya,3,1750,,2
Haralur Road,3,2000,,1
Arasanakunte,3,3500,,2
Kanakpura Road,3,2350,,3
Kasturi Nagar,2,1550,,2
Laxmi Sagar Layout,3,1900,,2
Sarjapur  Road,3,2560,,2
Kengeri Satellite Town,3,2400,,2
Bellandur,3,2560,,1.584375738
Ulsoor,4,3436,,1.584375738
Outer Ring Road East,2,1315,,2
5th block Koramangala,3,1706,,3
Nelamangala,3,2079,,3
JakkurYelahanka,4,3435,,1
Yemlur,4,3436,,1.584375738
Kaggadasapura,3,3100,,1.584375738
Gunjur Palya,3,5400,,2
KR Puram,2,1180,,1
Electronic City,4,2900,,2
Kundalahalli,3,1870,,3
KR Puram,1,896,,0
TC Palaya,2,1420,,0
Lakshminarayana Pura,3,1150,,1
Anjanapura,3,1330,,2
Kammasandra,3,1820,,3
Bellandur,2,1225,,2
Banashankari Stage VI,2,1140,,2
Malleshwaram,3,1315,,2
Ngef Layout,3,1315,,1
Bileshivale,3,1315,,0
2nd Phase JP Nagar,3,1735,,2
Ramamurthy Nagar,3,1643,,2
Manjunatha Layout,3,2500,,1
Kammasandra,1,600,,0
Kashi Nagar,2,845,,1
Hennur,2,1112,,3
Hosur Road,2,998,,2
Kanakpura Road,2,1250,,2
B Narayanapura,2,1200,,1
Kogilu,3,1325,,2
Harlur,2,1060,,1
Uttarahalli,2,1150,,1
Old Madras Road,3,1295,,1
Bommasandra,3,1320,,2
Ashwathnagar,3,1295,,2
Nagasandra,2,1150,,2
Upkar Layout,2,1150,,1
Hennur Road,2,1060,,1
Ambedkar Nagar,2,1150,,1
Sunkadakatte,3,1325,,2
Dasarahalli,2,1060,,1
Sarjapur  Road,2,1150,,2
HOSUR MAIN ROAD,2,1154,,1
Banashankari,3,2000,,2
Old Madras Road,2,850,,1
9th Phase JP Nagar,2,893,,2
Someshwara Layout,4,2400,,1
Kacharakanahalli,3,1800,,2
7th Phase JP Nagar,3,1350,,0
TC Palaya,4,2400,,2
Kothanur,6,3000,,1
6th Phase JP Nagar,6,2400,,1
Sarjapur  Road,4,4000,,2
Jigani,3,1350,,3
HSR Layout,3,1200,,2
Ulsoor,3,1539,,2
Talaghattapura,3,1450,,3
Frazer Town,6,3600,,1
Jalahalli West,3,1372,,1
Bommanahalli,2,1395,,1
Lingadheeranahalli,3,1325,,1
Vasanth nagar,2,1050,,1
Suddaguntepalya,2,1170,,1
Singasandra,2,1170,,1
Bisuvanahalli,2,1418,,1
Kathreguppe,2,861,,1
Kasavanhalli,3,1408,,3
Sarjapur  Road,2,861,,1
Bannerghatta Road,3,1318,,1
Begur Road,2,861,,0
Varthur,3,1320,,2
1st Phase JP Nagar,3,1345,,2
Kothannur,4,1905,,1.584375738
Kengeri,3,1318,,2
Channasandra Layout,2,1129,,1
Sarjapur  Road,3,2023.71,,2
Kogilu,4,3179,,3
Tumkur Road,3,1950.2,,2
Subramanyapura,3,2171.66,,2
HAL 3rd Stage,2,1165,,2
Hosa Road,2,1280,,1
Bisuvanahalli,3,1530,,1
Nagavara,2,1155,,1
Whitefield,3,1570,,2
Doctors Layout,2,1155,,1
Thigalarapalya,2,1100,,2
Harlur,2,967,,3
1st Block HRBR Layout,3,1618,,3
Kannamangala,2,1222,,1
Whitefield,3,1300,,3
Austin Town,2,950,,1
Banashankari,2,1153,,1
Malleshwaram,1,812,,0
Rajaji Nagar,3,1460,,2
Hennur Road,3,1500,,2
Old Madras Road,3,1621,,3
Hebbal,1,812,,1
Anandapura,2,990,,1
Raja Rajeshwari Nagar,2,1235,,2
Neeladri Nagar,3,1385,,2
Basavangudi,2,1000,,1
Kaval Byrasandra,2,1010,,1
Balagere,2,1410,,2
7th Phase JP Nagar,3,1435,,3
Sahakara Nagar,2,945,,0
Electronics City Phase 1,4,2500,,2
Domlur,3,1230,,2
Rajagopala Nagar,2,1120,,2
Vishwapriya Nagar,3,1500,,2
CV Raman Nagar,2,1200,,3
Sarakki Nagar,2,1280,,1
Vittasandra,2,1205,,1
Sarjapur,2,1170,,2
Kengeri,4,3000,,0
Bahubali Nagar,3,1613,,3
RMV 2nd Stage,2,1110,,2
Talaghattapura,2,1245,,2
Lottegolla Halli,2,1200,,2
Kothannur,2,1310,,1
Garudachar Palya,5,2600,,3
Kodbisanhalli,2,1326,,1
R.T. Nagar,3,1578,,1
Banashankari,3,1639,,1
Uttarahalli,3,2100,,3
Raja Rajeshwari Nagar,2,1045,,0
Anjanapura,3,1670,,2
Nandini Layout,4,3250,,3
Ambedkar Nagar,3,1776.42,,2
Margondanahalli,4,3250,,1.584375738
Begur Road,2,940,,1
Kasavanhalli,2,1075,,1
Sarjapur  Road,3,1715,,2
Vibhutipura Extension,3,1751,,1
Iblur Village,3,1750,,2
1st Block Jayanagar,3,1530,,2
Hosakerehalli,3,1752,,2
Budigere,3,1680,,3
Haralur Road,3,1728,,2
Pattandur Agrahara,3,1645,,2
HMT Layout,3,1517,,3
Bellandur,4,3150,,3
6th Phase JP Nagar,3,1750,,2
Uttarahalli,3,1751,,2
Basapura,3,1750,,2
Gollarapalya Hosahalli,3,1885,,2
Banashankari Stage III,3,1715,,3
Kadugodi,3,1623.29,,2
Bileshivale,3,1715,,3
Thigalarapalya,3,1715,,2
Malleshwaram,3,1600,,3
Electronics City Phase 1,3,1717,,3
Sarjapur  Road,2,1250,,0
8th Phase JP Nagar,3,1715,,3
B Channasandra,2,1007,,2
Electronics City Phase 1,2,1000,,1
KR Puram,2,1107,,2
Hosa Road,2,1108,,1
Harappanahalli,2,1150,,1
Dollars Colony,2,1010,,1
Nagarbhavi,2,1200,,2
Arehalli,3,1470,,2
Kanakpura Road,3,1745,,2
Thanisandra,3,1745,,2
Vidyaranyapura,3,1745,,2
Cambridge  road,3,1650,,2
Sector 7 HSR Layout,5,2570,,1.584375738
Whitefield,2,1205,,2
Kanakpura Road,3,1435,,2
8th Phase JP Nagar,2,1475,,2
Gottigere,2,1100,,2
Vajarahalli,2,1060,,1
Frazer Town,3,2000,,3
Singasandra,2,980,,3
Harlur,2,1140,,3
Marathahalli,3,1356,,3
Balagere,3,1600,,3
Hennur Gardens,4,2000,,0
Ashirvad Colony,2,1140,,2
Yeshwanthpur,2,1195,,2
Cholanayakanahalli,2,1190,,2
Nagarbhavi,2,1457,,3
Uttarahalli,2,1080,,2
Thanisandra,2,1175,,2
Yelahanka New Town,3,1362,,2
Yelahanka,2,1071,,1
Marathahalli,2,1063,,2
7th Phase JP Nagar,2,1235,,2
Padmanabhanagar,3,1362,,1
Thyagaraja Nagar,3,1362,,1
Vittasandra,3,1588,,3
Dodda Nekkundi,2,1235,,2
Raja Rajeshwari Nagar,2,1457,,3
Thanisandra,2,1050,,1
TC Palaya,3,1400,,2
HRBR Layout,2,993,,2
Anekal,2,1235,,2
Sarjapur  Road,3,1490,,2
Veerannapalya,3,2100,,1.584375738
Howthinarayanappa Garden,3,2700,,0
Kammasandra,5,2040,,1
Basavanagara,3,1865,,3
Bharathi Nagar,2,1200,,2
Marsur,3,2800,,0
Doddakallasandra,3,1722,,1.584375738
SRINIVASAPURA,2,1200,,2
Cambridge Layout,2,1004,,1
Whitefield,3,1783,,2
Rajaji Nagar,3,1656,,2
Padmanabhanagar,2,1089,,1
Ramakrishnappa Layout,3,1700,,1
EPIP Zone,2,1198,,1
Maragondanahalli,2,1200,,0
Akshaya Nagar,3,1832,,2
Frazer Town,2,1105,,2
Yeshwanthpur,3,1700,,1.584375738
Varthur Road,4,7500,,1.584375738
Attibele,3,1464,,2
Electronic City Phase II,3,1464,,2
3rd Block Banashankari,2,1464,,2
Thanisandra,2,1464,,2
Basaveshwara Nagar,3,1464,,2
Uttarahalli,3,1464,,2
Hennur,2,1374,,2
Raja Rajeshwari Nagar,2,1440,,2
Bisuvanahalli,3,2800,,2
Whitefield,2,1210,,1
Sarjapur  Road,2,1265,,1
Begur Road,2,1170,,2
 ittamadu,4,1900,,1
Doddakannelli,3,1625,,2
Harlur,2,1301,,1
Rayasandra,2,1145,,2
Hennur Road,2,1300,,3
Whitefield,2,1372,,1
Anand Nagar,3,1475,,2
Begur Road,2,1467,,1
Peenya,2,1140,,2
Hennur Road,2,1372,,1
Rayasandra,3,1750,,2
Rachenahalli,2,1027,,2
Margondanahalli,3,1650,,2
Yelahanka,2,1140,,2
Cox Town,2,1372,,1
Vijayanagar,2,1140,,2
Bhoganhalli,2,1185,,2
Amruthahalli,2,1127,,1
Kaikondrahalli,3,1600,,2
Vishveshwarya Layout,2,1145,,2
Patelappa Layout,2,1009,,2
Bisuvanahalli,2,1300,,2
Kanakpura Road,2,1140,,2
Kothanur,2,1126,,1
Kaggadasapura,2,1140,,2
 Devarachikkanahalli,2,1145,,2
Pulkeshi Nagar,2,1142,,2
"Thanisandra Main Road, ",2,1145,,2
Kaval Byrasandra,3,1844,,3
Budigere,2,1203,,2
Basavangudi,2,1140,,2
Kanakpura Road,5,4200,,1.584375738
Jayanagar,2,1140,,2
Somasundara Palya,2,1145,,2
Kadugodi,2,1009,,2
Kaggadasapura,2,1145,,2
Yelahanka,2,1100,,2
 Bhoganhalli,2,1203,,2
Kumbalgodu,2,1120,,1
Thanisandra,2,1140,,2
Electronic City Phase II,2,1289,,1.584375738
Hulimavu,3,1844,,1
Bellandur,2,1203,,2
Sarjapur,2,1140,,2
Old Madras Road,3,1200,,2
Kengeri,2,1086,,1
Kengeri Satellite Town,2,1225,,2
banashankari stage iii sa,2,1220,,2
Bannerghatta Road,8,3300,,3
Green Glen Layout,2,1240,,1
Haralur Road,2,1027,,2
Jakkur,4,2805,,3
7th Phase JP Nagar,2,1194,,2
Marathahalli,2,1202,,1
Kaggadasapura,2,1056,,1
Kanakpura Road,3,1810,,2
Manayata Tech Park,2,1194,,2
Hosakerehalli,4,2805,,3
Jalahalli,2,1225,,1
Kanakapura,2,1243,,1
Hoodi,2,1027,,2
Begur Road,3,1920,,1
Jayanagar,3,1875,,2
Nagavara,2,1194,,2
Sarjapur  Road,2,1140,,2
Amruthnagar,2,1027,,2
Gottigere,2,1194,,2
Thanisandra,3,2017,,2
Banashankari Stage V,2,1140,,2
Hosakerehalli,3,1875,,3
Kodichikkanahalli,2,1092,,2
MS Pallya,3,2475,,1.584375738
Thanisandra,2,1300,,2
Begur Road,2,1194,,2
Prithvi Layout,2,1243,,2
Balagere,3,1850,,1.584375738
Alfa Garden Layout,2,1225,,1
7th Phase JP Nagar,2,1243,,2
Bommasandra Industrial Area,2,1464,,2
Palace Guttahalli,2,1230,,1
Raja Rajeshwari Nagar,2,1000,,2
Electronic City Phase II,2,1300,,2
Yeshwanthpur,3,1444,,1
CV Raman Nagar,2,1088,,1
Akshya Nagar,2,1027,,1
Pai Layout,2,1225,,1
Yeshwanthpur,2,1194,,2
Hoodi,3,1830,,2
Yelahanka,2,1464,,2
Marathahalli,3,1520,,2
KR Puram,2,1300,,2
Whitefield,3,2017,,2
Malleshpalya,2,1243,,2
KR Puram,2,1027,,2
Akshaya Vana,4,2805,,3
Whitefield,2,1243,,2
Subramanyapura,2,1027,,2
Hennur Gardens,3,2017,,2
Thanisandra,2,1243,,2
Sarjapur  Road,2,1243,,2
Benson Town,3,1520,,2
Kannamangala,2,1300,,2
Sarjapur  Road,3,1985,,2
Ramamurthy Nagar,2,1056,,1
Vittasandra,2,1140,,1
Chennammana Kere,2,1245,,3
Thigalarapalya,2,1140,,2
Victoria Layout,2,1140,,2
 Anekal,2,1027,,2
Uttarahalli,2,1194,,2
Kasavanhalli,2,1194,,2
BCC Layout,3,1560,,1
Hebbal,3,1520,,2
Mathikere,2,1243,,2
