location,bhk,total_sqft,bath,price
Sarjapur,3,1157,4,125
Kasavanhalli,2,1125,2,44
Sonnenahalli,3,1157,2,110
Sarjapur  Road,2,1241,2,42
Binny Pete,3,660,3,109
Marathahalli,2,4000,2,80
Rajiv Nagar,2,2340,2,60
Venkatadri Layout,2,596,1,45
Koramangala Industrial Layout,3,10000,2,56
Kyalasanahalli,2,1200,2,52
Ambedkar Colony,4,1910,4,100
Brookefield,2,1139,2,42
Thigalarapalya,2,3122,2,53
Sarjapura - Attibele Road,2,1033,2,48
Yeshwanthpur,2,1168,2,42
Chandapura,3,877,2,75
Electronics City Phase 1,2,1340,2,48
B Narayanapura,2,1405,2,42
Siddapura,2,1800,2,58
 Devarabeesana Halli,2,1750,2,50
Motappa Layout,2,1360,2,53
Malleshwaram,2,675,2,45.5
Byrasandra,2,985,1,50
Victoria Layout,2,1300,2,46
7th Phase JP Nagar,3,1850,3,66
Rustam Bagh Layout,3,1490,3,75
Byagadadhenahalli,2,620,2,43
Hormavu,2,1130,2,48
Yelachenahalli,3,1080,3,75
Singasandra,2,3126,2,45
Begur Road,3,1410,2,72
Bommanahalli,2,1375,2,58.58
Hennur Road,2,1290,2,43
Hosa Road,2,1318,2,48
Electronic City,2,1128,2,45
Meenakunte,2,4428,2,29.5
Kanakpura Road,3,1051,3,75
Kengeri,2,3500,2,55
Kannamangala,3,2400,3,70
Yelahanka,2,1327,2,40
Thigalarapalya,3,2912,2,70
Basapura,2,1301,2,50
Thippasandra,2,650,2,39.5
Varthur,3,1200,2,75
Banagiri Nagar,3,1500,2,68
Kumara Park,2,2700,2,45
Nagadevanahalli,1,1350,1,38
Electronic City Phase II,1,1000,1,36
Sarjapur  Road,2,984,2,48
Jakkur,2,1819.18,2,60
Nagarbhavi,2,900,2,50
Hebbal,2,1355,2,47
Sarakki Nagar,3,2145,2,62
Malleshwaram,1,2475,1,35
Kaggadasapura,2,1118,2,45
Roopena Agrahara,2,910,2,60
Madiwala,3,1250,3,100
Hosakerehalli,2,1304,2,50
Begur Road,3,1615,3,56
Sarjapur  Road,2,1400,2,61
CV Raman Nagar,4,1070,4,108
Hebbal,3,3500,3,92
Hoodi,3,1132,3,105
Rajarajeshwari Nagara,2,2000,2,81.5
Hebbal,2,2400,2,64
Sector 2 HSR Layout,2,794,2,78
Raja Rajeshwari Nagar,6,1090,6,225
Gottigere,2,1500,2,50
1st Phase JP Nagar,3,2059,3,120
Kanakpura Road,3,525,2,70
Bhoganhalli,2,1447,2,76
Whitefield,3,1269,2,85
KR Layout,2,4800,2,40
Kanakpura Road,2,1070,2,52
Talaghattapura,2,1150,2,30
Marathahalli,3,1208,3,78
Ramamurthy Nagar,1,1185,1,39
Laggere,2,1200,2,45
Anekal,3,888,3,100
Chandapura,2,1015,2,45
Celebrity Paradise Layout,3,532,3,89
St Thomas Town,2,1060,2,40
Electronic City,2,700,2,48
Ckikkakammana Halli,2,902,2,40
Banashankari 2nd Stage,3,600,2,95
Uttarahalli,3,1175,3,78
Binny Pete,2,1365,2,70
Doddathoguru,2,984,3,70
Hebbal,2,2700,2,71
Jalahalli East,2,1475,2,40
Haralur Road,2,1300,2,48
5th Block Hbr Layout,2,1200,2,51
Babusapalaya,2,1453,2,54
Munivenkatppa Layout,2,1550,2,42
Akshaya Nagar,3,1666,3,95
Akshaya Nagar,2,1410,2,55
Yelahanka,2,4025,2,50
Murugeshpalya,2,1845,2,53
Sarjapura - Attibele Road,2,1676,2,65
Uttarahalli,3,1137,3,75
Electronic City,2,1360,2,39
Vijaya Bank Layout,4,1374,5,300
Judicial Layout,3,1700,3,88
Whitefield,2,3227,2,73
Ferrar Nagar,4,2145,3,150
Koramangala,2,2400,2,48
Kasavanhalli,2,2170,2,65
Bank Of Baroda Colony,2,1080,2,65
Electronic City Phase II,2,1790,2,60
Doddathoguru,2,550,2,44.5
Poorna Pragna Layout,3,1270,4,165
Somasundara Palya,2,1033,2,70
Kamala Nagar,2,1000,2,75
Binny Pete,3,2940,2,60
Kumarapalli,2,1240,2,85
Kasturi Nagar,1,1650,1,30
Kambipura,6,883,6,200
Outer Ring Road East,2,1500,2,80
Marathahalli,2,1730,2,43
Kasavanhalli,1,1915,1,33
Whitefield,2,1545,2,45
Marenahalli,3,1865,2,56
Hebbal Kempapura,2,1150,2,45
HAL 3rd Stage,2,1200,2,39
Kengeri,2,963,2,45
Marsur,2,1200,2,39
Basavangudi,3,2600,2,55
Kaikondrahalli,2,1700,2,37
Lingadheeranahalli,2,1682,2,44
Yelahanka,2,1371,2,37
Hennur Road,2,901,2,39
Vishwapriya Layout,2,600,2,37.01
Ambalipura,2,1730,2,39
Konanakunte,2,1200,2,45
EPIP Zone,2,1500,2,39
Sarjapur  Road,3,3785,2,55
Nagawara Junction,2,3500,2,51.5
Lingarajapuram,6,1203,7,110
Horamavu Banaswadi,3,1357,2,55
Vasantha Vallabha Nagar,5,1600,5,140
Yelahanka New Town,1,350,1,59
Varthur,2,1665,2,80
Ramamurthy Nagar,2,1400,2,60
Sarjapur  Road,2,835,1,81
Chandra Layout,4,815,4,200
Haralur Road,2,1444,3,80
Kanakapura,3,1277,3,65
Lingadheeranahalli,2,1521,2,24.5
Maithri Layout,1,1134,1,18.41
Vasanthapura,2,995,2,32
Old Madras Road,2,2760,2,24
Marathahalli,2,1325,2,23.45
Kothanur,2,4000,2,31.5
Marathahalli,2,1525,2,25
Raja Rajeshwari Nagar 5th Stage,2,1320,2,25.79
Electronics City Phase 1,2,650,1,25.75
Old Airport Road,2,1858,2,37
Electronic City,2,1150,2,31.99
Electronic City Phase II,2,769,2,60
Electronic City,2,1571,2,35
Hennur Road,2,1445,2,25.53
Hosur Road,2,1590,2,40.5
Bommasandra,2,902,2,35
Sarjapur,1,2238,1,18.5
Electronic City,3,1090,3,215
Yelahanka,3,1712,3,99
Haralur Road,3,1088,4,160
Somasundara Palya,4,1575,4,90
Nanjappa Garden,3,2150,3,75
Kundalahalli,1,1920,1,36
Margondanahalli,1,1000,1,38
Chennammana Kere,2,1100,2,46
Electronic City,1,1089,1,30
Horamavu Agara,2,1106,2,42.83
Kengeri,3,927,3,97
Kanakpura Road,2,1339,2,45.2
Thanisandra,3,923,3,75
Sarjapur  Road,2,2900,2,64
Lakshminarayana Pura,2,1175,2,46.39
Thubarahalli,2,975,2,55
Hebbal,2,2400,2,59
Subramanyapura,2,1330,2,47
Thanisandra,3,1183,2,70
Harlur,3,1758,3,121
Nagarbhavi,2,1200,2,65
Hebbal,3,1255,3,75
Nagadevanahalli,2,600,2,45.2
Pai Layout,2,1100,2,68
Ramamurthy Nagar,4,1170,4,120
Vayunandana Layout,1,2400,1,50
Raja Rajeshwari Nagar,1,1530,1,35.475
Hebbal,3,1420,2,70
Geetanjali Layout,3,1200,2,69.5
7th Phase JP Nagar,2,1045,2,36
Kanakpura Road,3,1591,3,88
7th Phase JP Nagar,2,1680,2,57
Kenchenhalli,4,675,4,110
Hoodi,1,1055,1,26
Iblur Village,1,1918,1,27.25
Sarjapur  Road,3,1280,2,58
Nagarbhavi,1,1560,1,30
Sarjapur  Road,2,1145,2,75
Talaghattapura,3,2106,3,58
"EPIP AREA, WHITEFIELD",1,1801,1,26
Seegehalli,3,1200,3,95.84
Rajaji Nagar,2,1718,2,74
Whitefield,3,1306,3,86.58
Hebbal,3,1320,2,85
1st Stage Domlur,3,1350,2,69
"RMV extension stage 2, rmv extension",2,2990,2,90
Kalyan nagar,3,3800,3,92
Bannerghatta Road,3,1344,2,75
Bannerghatta Road,1,1893,1,36.29
Chandapura,2,1107,2,50.6
R.T. Nagar,3,1200,3,95.84
Lakshminarayana Pura,3,1190,3,97
Whitefield,2,1000,3,76.85
Kalhalli,1,2400,1,25
Kumaraswami Layout,3,1000,3,136
Jalahalli,3,2113,3,130
KR Puram,1,1100,1,30
Sector 2 HSR Layout,2,1200,2,56.74
Harlur,1,1884,1,30
Electronic City,3,1110,3,69
Kudlu,2,1027,2,40
Tavarekere,1,1250,1,19.695
Sarjapur  Road,3,1470,3,88
Kamakshipalya,4,1150,3,165
Hadosiddapura,3,1200,3,99
Kudlu Gate,2,703,2,80
Vijaya Bank Colony,3,1400,3,113
Bellandur,2,1195,2,83
Narayanapura,2,1302,2,40
Begur Road,2,1583,2,71.5
Kumarapalli,1,1488,1,35
Lakshmi Layout,1,600,1,30
Kammasandra,3,1385,3,95
Whitefield,3,3262,3,86.91
Electronic City,3,1600,3,86.58
Old Airport Road,1,1150,1,38.44
Lakkasandra,3,4500,2,95
Sarjapur  Road,2,1263,2,85
KR Puram,1,1200,1,27
Kanakpura Road,1,1299,1,27.5
Banashankari,1,1330,1,26.25
Devanahalli,1,1282,1,26
"JP Nagar 8th Phase, ",3,1853,2,59
Kachanayakanahalli,3,861,3,90
Bannerghatta Road,3,1600,3,56.57
Nagaraja Garden,3,1256,3,96.2
Tejaswini Nagar,2,1390,2,65
Ashwath Nagar,2,1550,2,41
1 Annasandrapalya,2,1200,1,41
Hebbal,3,919,3,58
Margondanahalli,2,1625,2,65
Gunjur,2,1195,2,40
Domlur,1,2400,1,26.01
Yelenahalli,2,1159,2,70
Whitefield,2,1386,2,105
Harlur,3,1197,3,69
Old Airport Road,3,2690,3,69
Jigani,2,3293 - 5314,2,63
Bommasandra,3,1295,3,69
Huskur,2,1310,2,78
Whitefield,2,1132,2,36
6th block Koramangala,3,2350,3,58
4th Block Koramangala,3,2400,2,69
Hebbal,3,1645,3,105
Whitefield,2,1200,2,62
Whitefield,3,3000,3,95
Marathahalli,2,1937,2,46.29
Doddathoguru,1,1015,1,37.32
Nagadevanahalli,1,1080,1,30
Kathriguppe,3,1350,3,105
Kengeri Satellite Town,3,1149,3,96.2
Kothanur,1,1185,1,26
Domlur,2,1720,2,36
Hebbal,3,2080,3,95
Tindlu,2,1500,2,58
Yelahanka,2,1566,2,56
Rajaji Nagar,4,2386,4,200
KSRTC Layout,3,1500,3,89
KR Puram,4,1290,4,130
"JP nagar 9th Phase, ",3,1531,3,93.34
Keshava Nagar,2,1839,2,52.5
Dollars Layout,3,4200,3,104
Electronic City Phase II,2,1400,2,54.5
Electronic City,4,550,4,135
Whitefield,2,1140,2,55
Tumkur Road,2,1210 - 1477,2,56
Banashankari Stage III,3,2000,3,180
Kaval Byrasandra,3,1100,3,190
Vignana Nagar,3,1200,3,175
Bannerghatta,2,1618,2,65
Whitefield,3,2830,2,98
Uttarahalli,3,1315,3,115
Anandapura,3,1141,3,165
AECS Layout,2,1080,2,58.06
HBR Layout,3,1200,3,105
Varthur,3,1111,3,99
NGR Layout,4,1022,4,240
Bannerghatta Road,2,1275,2,78
4th Block Jayanagar,2,900,2,78
Rachenahalli,2,1224,2,50
Battarahalli,2,1135,2,78
Rachenahalli,3,1050,3,89
Kudlu Gate,2,1535,2,50
Nagavarapalya,3,1392,3,116
Bellandur,2,1050,2,50
Hosa Road,2,1513,2,61.2
Gottigere,3,1621,3,151
Bannerghatta Road,3,892,3,95
Whitefield,2,1205,2,50.3
Hebbal,3,1355,3,123
2nd Block Hrbr Layout,2,1250,2,59.8
Kuvempu Nagar,3,1650,3,104
Karnataka Shabarimala,4,1200,4,272
Indira Nagar,3,1400,4,120
Kengeri,2,726,2,39
Singena Agrahara,2,1500,2,42
Hebbal,1,3895,1,43.82
Horamavu Agara,2,1079,2,60
Begur Road,2,1170,2,72
Doddathoguru,2,1104,2,60
Kanakpura Road,4,950,4,333
Hormavu,2,4818,2,83
Canara Bank Colony,4,1650,4,325
Kogilu,3,1559,2,69
Hanumagiri,3,1100,3,132
Benson Town,2,1750,2,78
Ramagondanahalli,4,1215,4,344
Talaghattapura,2,1868,2,95
Electronic City,3,1130,3,105
Kanakpura Road,2,1570,2,67
Sarjapur  Road,2,1691,2,67
Ardendale,3,4355,4,120
Hulimavu,2,1225,2,110
JP Nagar,2,1690,2,85
Thigalarapalya,2,1418,2,55
Kasturi Nagar,2,1896,2,68
Sonnenahalli,3,605,3,112
Begur Road,2,800,2,65
Electronic City Phase II,2,900,2,66.25
Cholanayakanahalli,2,750,2,90
Hoodi,2,780,2,80
Ananth Nagar,3,908,3,142
Sarjapur  Road,3,3369 - 3464,3,110
Thanisandra,2,3216,2,80
BEML Layout,2,2400,2,61
Iblur Village,2,1400,2,75
Kudlu,2,1092,2,50
Hulimavu,3,1255,3,125
Electronic City,2,1500,2,92
Thanisandra,3,1296,3,88.5
Horamavu Banaswadi,2,925,2,65
Raja Rajeshwari Nagar,4,1023,3,125
Seshadripuram,2,600,2,58
Thanisandra,2,1020,2,66
Choodasandra,4,1530,4,155
Gubbalala,3,1650,2,77
Vijaya Bank Layout,3,1605,2,68.75
Hosakerehalli,3,1925,2,68.48
Kogilu,3,1190,2,87.01
Jakkur,3,1374,2,80.99
6th Phase JP Nagar,3,1140,2,75.08
Green Glen Layout,3,1725,3,77.99
Bisuvanahalli,3,1075,2,80.99
Kannamangala,3,1574,2,76.45
Sanjay nagar,3,965,3,78.3
Marathahalli,3,1550,2,68.75
Akshayanagara West,3,1205,3,77.99
Kambipura,3,1082,2,73.43
Uttarahalli,3,1215,3,77.99
Hebbal,3,2483,3,77.99
Prasanth Extension,3,1200,2,73.43
Chikkathoguru,3,1500,3,80.99
1st Block Koramangala,2,2360,2,68.75
Ardendale,3,3198,3,80.99
Kanakpura Road,7,1452,7,140
Electronic City Phase II,7,1329,7,125
Doctors Layout,2,1125,2,47
Anand nagar,2,1200,1,70
Sarjapur  Road,2,1350,2,52
Uttarahalli,2,1125 - 1500,2,52
Hebbal,2,2600,2,49.5
West of Chord Road,2,1200,2,50
Electronic City Phase II,2,1220,2,45
Pai Layout,2,1255,2,46
Keshava Nagar,2,1904,2,49
Somasundara Palya,2,1329,2,53
Chandapura,2,1200,2,42
Murugeshpalya,1,2135,1,25
Ramakrishnappa Layout,2,2770,2,41.5
"Hoodi Circle, ",2,813,2,60
Junnasandra,3,3884,3,75
Doddaballapur,2,3876,2,55
Kalena Agrahara,2,800,2,60
Handenahalli,3,4750,3,75
Hormavu,2,1500,2,68
Bannerghatta Road,2,1880,2,70
Electronic City,2,1440,2,59
Akshaya Nagar,2,1575,2,68
Banagiri Nagar,3,1630,3,85
Yelahanka,2,1180,2,65
Nagadevanahalli,4,1090,4,215
NGR Layout,3,1020,3,155
"Sarjapur Road, ",5,2425,5,225
Varthur,2,1097,2,58
Raja Rajeshwari Nagar,2,1070,2,58
Kumaraswami Layout,3,1000,2,69
Hoodi,3,1120,2,73
manyata tech park,2,1150,1,45
Frazer Town,2,1900,2,60
Divya Unnathi Layout,1,1141,1,35
Jigani,2,937,2,52
Green Glen Layout,2,1075,2,57
Panathur,3,1000,3,100
Kasavanhalli,2,1450,2,38
Yelachenahalli,2,897,2,58
Ashwathnagar,2,936,2,57
Gopalkrishna Nagar,3,1280,2,49
Babusapalaya,2,1050,2,36
Marathahalli,2,1350,2,35
Mallasandra,1,1325,1,19.5
Devanahalli,2,1174,2,45
Hosur Road,1,1890,1,25
Wilson Garden,3,735,3,67
Sarvabhouma Nagar,1,500,1,17
Gottigere,1,1304,1,22.5
Yelahanka,2,1653,2,35.5
Bisuvanahalli,3,1075,3,80
7th Phase JP Nagar,2,1212,2,58
Hoysalanagar,2,1100,2,36.5
Rajaji Nagar,1,3436,1,18
SMV layout,2,1200,2,49
Billekahalli,2,1140,2,51
Roopena Agrahara,2,1200,2,63
Kudlu Gate,1,1532,1,52
Doddaballapur,2,2776,2,53.5
Padmanabhanagar,2,1531,2,40
Poorna Pragna Layout,1,1270,1,35
Uttarahalli,2,1325,2,51.5
CQAL LAYOUT C BLOCK,8,1200,5,130
Electronic City,1,1156,1,15
R.T. Nagar,1,2000,1,17.19
Bannerghatta Road,5,1260,4,100
Vittasandra,3,1934,2,42
Malleshpalya,2,1060,1,95
Kasavanhalli,2,1476,2,35
Murugeshpalya,2,1185,2,45
Channasandra Layout,3,1265,2,66
"Near Electronic City, ",1,3200,1,30
Virat Nagar,3,1196,2,78
EPIP Zone,2,1280,2,43
Marathahalli,2,800,2,42
Hulimavu,2,1175,2,26
Kacharakanahalli,2,1850,2,50
Indira Nagar,2,2400,2,32
Whitefield,2,1195,2,44.285
Ulsoor,2,2000,2,40
Veerannapalya,1,600,1,22
Hebbal Kempapura,2,800,2,42
Hosur Road,2,1180,2,33
Jakkur,2,1050,2,39
Electronic City,2,1400,2,42
Bagalakunte,1,2360,1,15
Banashankari stage 2,2,1030,2,49
Doddanakundi Industrial Area 2,2,1512,2,43
Subramanyapura,2,929,2,50
Jigani,2,1252,2,25
Green Glen Layout,2,1485,2,32
Electronics City Phase 1,2,1124,2,32
TC Palaya,3,2400,2,48
Indira Nagar,2,1407,2,28
Hennur Road,2,1482,2,30
Sector 7 HSR Layout,2,1163,2,30
Jalahalli,3,1570,3,41
Whitefield,1,3480,1,19.5
Chandapura,2,520,2,32
OLd Gurappanapalya,2,2000,2,34
Prithvi Layout,2,1352,2,35
Electronic City,3,1152,3,165
"ECC Road, Whitefield, ",3,1575,3,155
Hegde Nagar,2,1965,2,125
Ramanjaneyanagar,3,1300,3,160
Sarjapur  Road,4,1,4,89
Marathahalli,3,957,3,70
Hoskote,2,1740,2,27
Kanakpura Road,2,1080,2,22.8
Neeladri Nagar,3,1060,3,184
Chikkadunnasandra,2,975,2,59
Ramamurthy Nagar,2,1150,2,59
Whitefield,3,1738,3,75
Bommanahalli,3,1250,3,70
Bannerghatta Road,2,1788,1,60
Kanakapura,2,1151,2,62
Uttarahalli,3,1300,2,57
Garudachar Palya,2,1150,2,41
Akshya Nagar,3,1380,2,75
Hebbal,2,1645,2,52
Babusapalaya,2,1141,2,48
7th Phase JP Nagar,2,1175,2,43
Banashankari Stage V,3,1355,2,85
Dasarahalli,2,1150,2,45
Indranagar  100ft road defence colony,1,5800,1,18
Canara Bank Colony,2,1000,2,38.5
Balagere,2,1007,2,57
Wajid layout thanisandra,2,3000,2,42
Kothanur,3,1436,3,66
Marathahalli,2,4000,2,50
Somasundara Palya,5,2372,4,125
R.T. Nagar,2,1500,2,58
BTM Layout,2,167Sq. Meter,2,55
Rajaji Nagar,3,1200,3,65
Rayasandra,2,1016,2,56
Dodda Nekkundi,2,1100,2,55
B Channasandra,2,1080,2,60
Electronic City,2,1070,2,51
Kadubeesanahalli,3,1532,3,65
Hennur,2,1040,2,38
Laxmi Sagar Layout,2,3100,2,32
Tumkur Road,3,1076 - 1199,3,80
Thanisandra,2,1430,2,98
Rajaji Nagar,1,1160,1,53
ITPL,3,3262,3,150
Achins Road,4,2100,5,335
Uvce Layout,3,1190,4,270
Panduranga Nagar,3,1827,4,260
HRBR Layout,3,1210,4,260
New Thippasandra,3,1500,4,260
Rachenahalli,3,1050,3,130
Hebbal,4,1251,5,388
HSR Layout,4,1600,5,335
Electronic City,2,1128,2,150
Budigere,4,1820,4,88
Thigalarapalya,3,2072,3,88
Raja Rajeshwari Nagar,2,1510,2,51.99
Hoodi,2,1925,2,50.66
Hennur Road,2,2651,2,53.33
Thigalarapalya,1,2072,1,36
Kumaraswami Layout,2,1000,2,50.66
KR Puram,2,1752,2,50.66
Sahakara Nagar,3,960,3,120
Gattigere,1,1180,1,30.84
Benson Town,2,2270,2,55.55
NRI Layout,2,650,2,53.33
Lakshminarayana Pura,2,1200,2,49
Bisuvanahalli,1,1180,1,30.84
Roopena Agrahara,2,1300,2,55.55
Bannerghatta Road,7,1157,7,85
Kanakpura Road,2,1300,2,50.66
Banashankari Stage III,2,1305,2,50.66
Hegde Nagar,3,2006,3,223
Jakkur,2,1290,1,58
Hoskote,3,1170,2,73
Cottonpet,4,971,4,160
Yelachenahalli,3,1400,2,180
Lakshminarayana Pura,3,1200,2,85
Kamakshipalya,2,1155,1,180
Hormavu,2,1725,2,47
Kanakpura Road,2,700,2,35
Yemlur,2,7000,2,57
Hoodi,2,1112,2,50
Somasundara Palya,2,1178,2,165
Badavala Nagar,2,1274,2,102
Doddathoguru,3,915,3,160
6th Phase JP Nagar,4,1650,5,425
Hosur Road,2,760,1,110
Maragondanahalli,3,1540,4,275
P&T Layout,2,1206,2,100
Basavanna Nagar,2,1645,2,110
Canara Bank Layout,2,1200,2,119
singapura paradise,2,1200,2,75.2
Nehru Nagar,2,2342,2,100
Kannur,3,1200,3,210
Yelenahalli,2,1056,2,200
Raja Rajeshwari Nagar,3,4800,3,286
Kanakpura Road,3,1450,3,290
Thirumenahalli,2,1161,2,150
Dollars Colony,2,1097,2,110
Uttarahalli,4,850,4,775
Green Glen Layout,3,1715,3,300
Basavangudi,2,2300,2,100
Electronic City,3,1200,3,200
8th Phase JP Nagar,2,1080,2,128
Kasavanhalli,2,1200,2,160
4th Block Koramangala,2,2400,2,125
Banashankari,2,1400,2,85
Whitefield,2,1500,2,165
Kanakpura Road,2,381 - 535,2,100
Marathahalli,3,1230,3,300
Kalyan nagar,3,1640,4,210
Banashankari,3,1700,4,245
Bommasandra,2,1478,2,160
Defence Colony,2,6600,2,103
Banashankari,4,1020,4,625
Nagarbhavi,2,1200,2,160
Yelahanka,3,1275,3,210
Cambridge Layout,2,1600,2,95
Kanakapura,3,1110,3,170
Uttarahalli,2,1627.86,2,100
Byagadadhenahalli,4,620,5,600
Whitefield,2,3004,2,48.23
Hosa Road,2,1133,2,40
Hennur Road,2,1182,2,47.88
Tumkur Road,2,1500,2,47.8
Hebbal Kempapura,2,3900,2,42.79
Marathahalli,2,1200,2,38.6
Raja Rajeshwari Nagar,3,1128,2,59.4
Malleshwaram,3,2215 - 2475,2,48.6
Jayanagar,3,900,2,56.15
Amruthahalli,2,1100,2,51
Kengeri Satellite Town,3,635,2,150
Ardendale,3,2062,3,110
Thanisandra,2,1874,2,58
Vidyaranyapura,3,600,3,105
Old Madras Road,5,1171,5,550
Sarjapur,3,2020,3,70
8th Phase JP Nagar,2,1059,2,58
Panathur,3,1315,3,110
Jakkur,3,1760,3,71
Sampangi Rama Nagar,2,1200,2,59
Hennur Road,3,1192,3,70
Hebbal,3,1645,3,71
Whitefield,3,1250,3,105
Whitefield,2,524 - 894,2,45.5
Whitefield,2,1340,2,56
Cooke Town,4,2388,5,230
Hosa Road,2,1369.1,2,69
Jalahalli West,1,1355,1,30
Bannerghatta Road,2,1150,2,68.5
Kanakapura,3,1938,3,111
Begur Road,2,2462,2,58
Budigere,1,1636,1,75
Akshaya Nagar,2,1430,2,53
BEML Layout 5th stage,3,2000,3,97
Electronic City Phase II,4,993,4,175
Laggere,3,1260,2,106
Kanakpura Road,3,1700,3,107
Yelahanka,2,1270,2,54
Anjanapura,3,1500,3,110
Koramangala,2,2300,2,57
Hunasamaranahalli,2,7500,2,55
Marathahalli,2,1650,2,56
Panathur,2,1109,2,54
Pragathi Nagar,2,1280,2,60
Sarjapur,2,2885,2,53
Banashankari,2,1200,2,56
Devanahalli,2,1600,2,70
Kothanur,2,1462,2,56
Marathahalli,3,607,3,120
Kammasandra,2,930,2,59
Varthur,3,4500,3,105
Sahakara Nagar,2,1200,2,55
Malleshwaram,2,2600,2,54
JP Nagar,3,3000,3,80
Electronic City Phase II,2,1418,2,65
Ramesh Nagar,2,4200,2,59
EPIP Zone,3,1125,3,120
CV Raman Nagar,3,1825,3,71.5
Whitefield,2,1320,2,38
JP Nagar,3,3000,3,285
HAL 2nd Stage,3,1490,3,273
8th block Koramangala,2,1650,2,53.5
Whitefield,2,750,2,43
Yelahanka,2,1400,2,44
Sathya Sai Layout,2,4104,2,43
Rajaji Nagar,2,5000,2,44
Mahadevpura,2,3295,2,55
A Narayanapura,2,1150,2,44
Whitefield,3,1200,3,79
Poorna Pragna Layout,2,965,2,42
Gottigere,2,812,2,50
KR Puram,2,1100,2,44
Whitefield,2,1180,2,53
HSR Layout,2,1145,2,56
Haralur Road,2,1027,2,44
Silk Board,3,1215,2,60
Hegde Nagar,2,1200,2,44
Kenchenahalli,2,1015,2,46
Kaggalipura,4,2400,3,114
Whitefield,2,3000,2,44
7th Phase JP Nagar,1,3300,1,33
Puttanahalli,2,1076,2,44
JP Nagar,2,1300,2,52
Hebbal Kempapura,2,1300,2,53
Hosa Road,3,1512,3,83
Bhoganhalli,3,1053.4,3,85
Yeshwanthpur,3,540 - 670,3,86
Hormavu,3,1153,2,92
Virat Nagar,2,2080,2,55
Hulimavu,3,1255,3,89
Bannerghatta Road,1,315Sq. Yards,1,52
Marathahalli,3,1583,3,86
Kundalahalli Colony,3,1505,3,83
Kathriguppe,2,1365,2,50
Dwarka Nagar,2,1200,2,50
Amblipura,2,1810,2,45
Magadi Road,2,440,2,38.25
Subramanyapura,2,975,2,103
Doddagubbi,2,1250,2,86
Gopalkrishna Nagar,3,1530,3,121
Kereguddadahalli,2,1300,3,56
Channasandra,3,1115,3,85
Sarjapur  Road,3,1308,3,120
Parappana Agrahara,2,1194,2,69.57
Uttarahalli,2,1490,2,44.96
Bannerghatta Road,2,10000,2,75
Sarjapur  Road,2,1592,2,79.54
Rajaji Nagar,3,1222,3,110
Raja Rajeshwari Nagar,2,1267,2,79.54
Balagere,2,656,2,44.4
Dodda Nekkundi,2,3400,2,53
Garudachar Palya,2,4500,2,60
Chandapura,3,1200,4,350
Thanisandra,3,1698,3,207
Tata Nagar,2,1500,2,250
Sunkadakatte,4,2000,5,800
Electronic City,2,1152,2,52.6
Raja Rajeshwari Nagar,3,550,2,65
Pattandur Agrahara,3,900,2,65
Rajarajeshwari nagar,4,1410,4,139
Akshaya Nagar,2,1419,2,48.5
Amruthahalli,2,1200,2,58
AECS Layout,3,1800,2,125
Gottigere,3,990,2,70
Sarjapur  Road,1,1016,1,78
Bannerghatta Road,7,1100,7,150
Ramamurthy Nagar,3,850,2,85
Whitefield,4,1095,3,110
Rajarajeshwarinagar,7,2000,7,145
Budigere,3,1444,3,75
Whitefield,2,1415,2,60
Jinkethimmanahalli,2,1500,2,50
Daadys Gaarden Layout,3,1600,3,125
Whitefield,2,1105,2,49
Electronic City,2,1225,2,57.99
Frazer Town,2,2560,2,82
Kanakpura Road,3,1080,3,105
Dasarahalli,3,2400,3,127
Talaghattapura,2,1856,2,49.27
Haralur Road,3,1464,3,110
Vishwapriya Nagar,3,2100,3,104
Sarjapur  Road,3,1150,3,108
Abbigere,3,1200,3,150
Whitefield,3,1650 - 2538,3,105
5th Phase JP Nagar,3,1485,3,124
Vimanapura,2,2500,2,84
Whitefield,2,1200,2,83
Hennur Road,4,1036,4,550
Whitefield,2,3445,2,53.76
Dodsworth Layout,2,1400,2,82.62
Bommanahalli,2,1110,2,91
Kodichikkanahalli,3,1150,3,146
Kenchenahalli,3,715,3,170
Magadi Road,3,1200,3,125
Rajaji Nagar,2,1200,2,48.27
Jakkur,2,2283,2,89
1st Stage Radha Krishna Layout,4,1790,5,245
Hormavu,3,1453,3,105
Nagarbhavi,2,1400,2,72
Padmanabhanagar,2,1400,2,58
Whitefield,4,1700,4,230
Kanakpura Road,2,1591,2,70
Nagarbhavi,3,1515,3,146
Marathahalli,2,2500,2,91
Chandapura,3,975,3,128
Yeshwanthpur,2,1382,2,74
Nagasandra,3,1750,3,150
Sector 1 HSR Layout,3,1533,3,125
Cunningham Road,3,3815,3,140
Amarjyothi Colony,2,1100,2,65
Dairy Circle,2,3730,2,69
Banashankari Stage II,2,1500,2,90
Yelahanka,3,1391,3,140
Begur Road,3,1160,3,95
Chandapura,3,620,3,70
MS Pallya,1,2400,1,69
Vidyaranyapura,1,1200,1,25
Whitefield,2,4827,2,55
Kanakpura Road,1,1482,1,32
Whitefield,3,1405,2,80
Gunjur,2,1190,2,62
Harlur,2,1174,2,49.5
Seegehalli,1,1155,1,48
Thanisandra,5,1411,5,125
Jalahalli West,2,745,2,75
Kereguddadahalli,1,1000,1,60
Jigani,1,923,2,48
Yeshwanthpur,2,1000,2,28
